epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,2822.66,1.32406,1.16334,1.40818,0.49242,0.44866,0.44807,0.2073,2.51107,2.44157,2.68304,0.0003268,0.0003268,0.0003268
70,2877.38,1.32328,1.14623,1.41168,0.46345,0.40469,0.39672,0.18203,2.51376,2.54115,2.76573,0.0003169,0.0003169,0.0003169
71,2932.07,1.32341,1.15617,1.40616,0.61387,0.36471,0.4248,0.19817,2.50625,2.49664,2.67498,0.000307,0.000307,0.000307
72,2986.73,1.30608,1.12663,1.41337,0.44698,0.38594,0.39241,0.19755,2.50443,2.52285,2.68667,0.0002971,0.0002971,0.0002971
73,3041.25,1.31748,1.12663,1.39713,0.44347,0.40781,0.39544,0.18242,2.51148,2.46238,2.71069,0.0002872,0.0002872,0.0002872
74,3095.98,1.33601,1.14307,1.40596,0.46314,0.38444,0.40921,0.19822,2.50762,2.46458,2.75693,0.0002773,0.0002773,0.0002773
75,3150.77,1.30178,1.125,1.3923,0.51871,0.36082,0.40965,0.19871,2.50509,2.48674,2.75803,0.0002674,0.0002674,0.0002674
76,3205.61,1.31484,1.11303,1.38975,0.43717,0.39317,0.37923,0.17334,2.4972,2.48332,2.77582,0.0002575,0.0002575,0.0002575
77,3260.38,1.34032,1.16404,1.41132,0.49057,0.36511,0.40171,0.18969,2.50972,2.54447,2.70614,0.0002476,0.0002476,0.0002476
78,3315.06,1.31615,1.11527,1.3858,0.43478,0.40437,0.3939,0.18379,2.51397,2.58832,2.71274,0.0002377,0.0002377,0.0002377
79,3369.88,1.2914,1.07803,1.37255,0.59567,0.35434,0.40499,0.19265,2.51124,2.5345,2.71528,0.0002278,0.0002278,0.0002278
80,3424.62,1.29469,1.11736,1.3877,0.43388,0.37759,0.39363,0.1932,2.55333,2.52835,2.75843,0.0002179,0.0002179,0.0002179
81,3479.23,1.2828,1.07486,1.38349,0.51737,0.33053,0.37537,0.17286,2.52921,2.61285,2.74479,0.000208,0.000208,0.000208
82,3533.91,1.27501,1.07906,1.37539,0.48158,0.40509,0.39239,0.1762,2.54861,2.5647,2.74797,0.0001981,0.0001981,0.0001981
83,3588.49,1.2872,1.08228,1.37177,0.47069,0.38586,0.37429,0.16586,2.55264,2.53803,2.77906,0.0001882,0.0001882,0.0001882
84,3643.24,1.28339,1.07374,1.36808,0.4835,0.40425,0.43562,0.20137,2.4951,2.525,2.7047,0.0001783,0.0001783,0.0001783
85,3697.87,1.27039,1.0724,1.36816,0.54989,0.37309,0.40721,0.17996,2.51387,2.503,2.74035,0.0001684,0.0001684,0.0001684
86,3752.69,1.25238,1.0271,1.35838,0.53522,0.41608,0.4257,0.19442,2.53408,2.57019,2.73754,0.0001585,0.0001585,0.0001585
87,3807.46,1.24979,1.03755,1.3523,0.60858,0.39537,0.42174,0.19613,2.55088,2.48249,2.80804,0.0001486,0.0001486,0.0001486
88,3862.07,1.24236,0.9944,1.34361,0.47878,0.43555,0.42608,0.20203,2.54945,2.51719,2.8171,0.0001387,0.0001387,0.0001387
89,3916.79,1.26898,1.05369,1.37239,0.46669,0.42201,0.4064,0.18148,2.50639,2.55274,2.73438,0.0001288,0.0001288,0.0001288
90,3971.3,1.23792,1.0467,1.36458,0.43019,0.41498,0.387,0.17695,2.52657,2.58172,2.80894,0.0001189,0.0001189,0.0001189
91,4040.3,1.29617,1.10153,1.38759,0.43174,0.31972,0.3715,0.17972,2.46051,2.46039,2.71233,0.000109,0.000109,0.000109
92,4094.53,1.29399,1.06489,1.38912,0.45086,0.31678,0.37525,0.17991,2.46038,2.46149,2.67946,9.91e-05,9.91e-05,9.91e-05
93,4148.73,1.2733,1.03958,1.37798,0.48792,0.32794,0.37694,0.18213,2.455,2.40689,2.67172,8.92e-05,8.92e-05,8.92e-05
94,4202.89,1.26553,1.02063,1.36177,0.41045,0.33179,0.375,0.17897,2.45891,2.43769,2.72401,7.93e-05,7.93e-05,7.93e-05
95,4255.4,1.26642,1.03054,1.3735,0.39627,0.35606,0.36268,0.1744,2.43773,2.4776,2.68797,6.94e-05,6.94e-05,6.94e-05
96,4294.76,1.26536,1.01824,1.38236,0.33647,0.37058,0.36097,0.17443,2.45804,2.49103,2.71539,5.95e-05,5.95e-05,5.95e-05
97,4333.87,1.272,1.03093,1.36071,0.40327,0.37797,0.36728,0.18126,2.43608,2.52033,2.67246,4.96e-05,4.96e-05,4.96e-05
98,4372.97,1.26631,0.9998,1.37372,0.41239,0.3567,0.36925,0.18044,2.44812,2.42742,2.7007,3.97e-05,3.97e-05,3.97e-05
99,4412.05,1.24676,1.00655,1.35766,0.4321,0.32812,0.35832,0.17463,2.43591,2.44058,2.69178,2.98e-05,2.98e-05,2.98e-05
100,4451.02,1.24714,1.00822,1.35344,0.41893,0.32935,0.36054,0.17699,2.4509,2.49669,2.71024,1.99e-05,1.99e-05,1.99e-05
